Library,Url,CDNJS,# Versions,# Sep by PT,# Sep by LDC,Description
Move,https://github.com/rsms/move,None,,,,
Popcorn.js,https://github.com/mozilla/popcorn-js/,None,,,,
Spine,http://spine.github.io/,None,,,,
Ionic,https://ionicframework.com/,None,,,,
Ember.js,https://emberjs.com/,None,,,,
GreenSock JS,https://greensock.com/gsap,None,,,,
Can,https://canjs.com/,None,,,,
Brewser,https://robertpataki.github.io/brewser/,None,,,,
Kendo UI,https://github.com/telerik/kendo-ui-core,None,,,,
boomerang.js,https://soasta.github.io/boomerang/,None,,,,
Framer,https://framer.com/,None,,,,
Marko,https://markojs.com/,None,,,,
AMP,https://amp.dev/,None,,,,
Gatsby,https://www.gatsbyjs.org/,None,,,,
Shopify,https://www.shopify.com/,None,,,,
Magento,https://magento.com/,None,,,,
WordPress,https://wordpress.org/,None,,,,
Wix,https://www.wix.com/,None,,,,
Workbox,https://developers.google.com/web/tools/workbox/,None,,,,
Boq,https://github.com/johnmichel/Library-Detector-for-Chrome/pull/143,None,,,,
Wiz,https://github.com/johnmichel/Library-Detector-for-Chrome/pull/147,None,,,,
Drupal,https://www.drupal.org/,None,,,,
TYPO3,https://typo3.org/,None,,,,
Create React App,https://create-react-app.dev/,None,,,,
Guess.js,https://guess-js.github.io/,None,,,,
October CMS,https://octobercms.com/,None,,,,
Joomla,https://www.joomla.org/,None,,,,
Bento,https://bentojs.dev,None,,,,
WP Rocket,https://wp-rocket.me/,None,,,,
NitroPack,https://nitropack.io/,None,,,,
Remix,https://remix.run/,None,,,,
